"7-;8-ms_check.sh
;10-sd_check.sh
;11-sd_check.sh
;20-
auido_check.sh audio/1kHzL.wav
;22-
auido_check.sh audio/1kHzR.wav
;25-
Ñº¤·¤¿•r£ºon 03: PREV¡¢ëx¤·¤¿•r£ºoff 03:PREV
;26-
Ñº¤·¤¿•r£ºon 02: NEXT¡¢ëx¤·¤¿•r£ºoff 02: NEXT
;27-
Ñº¤·¤¿•r£ºon 01: HOME¡¢ëx¤·¤¿•r£ºoff 01:HOME
;","16:29:21","2010-04-20","1741.7S"
"8-
mPassword: 
Login incorrect
localhost login: ;9-
Password: 
Login incorrect
localhost login: 
Login timed out after 60 seconds

Distribution built using LinuxLink by TimeSys (6.2)
Linux 2.6.23 [armv6l arch]

localhost login: ;","16:38:49","2010-04-20","194.23S"
"7-;9-
ms_check.sh
;10-;","16:53:48","2010-04-20","367.84S"
"9-ms_check.sh
;10-sd_check.sh
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
;11-sd_check.sh
;12-auido_check.sh audio/1kHz.wav
-ash: auido_check.sh: not found
[root (ttygserial)]# ;15-999900000000.00;16-999900000000.00;17-auido_check.sh audio/InfinityZero.wav
-ash: auido_check.sh: not found
[root (ttygserial)]# ;20-auido_check.sh audio/1kHzL.wav
-ash: auido_check.sh: not found
[root (ttygserial)]# ;21--76.49;22-auido_check.sh audio/1kHzR.wav
-ash: auido_check.sh: not found
[root (ttygserial)]# ;","19:43:09","2010-04-20","520.74S"
"9-ms_check.sh
;10-sd_check.sh
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
;11-sd_check.sh
;21--23.06;23--76.49;25-ron 03: PREVxroff 03:PREV
-ash: ron: not found
[root (ttygserial)]# ;","19:53:03","2010-04-20","493.03S"
"8-ms_check.sh
;9-ms_check.sh
;10-sd_check.sh
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
Info : SD Detect
  SD mount...
    Error : Cannot mount SD
  Delete check data...
  SD unmount...
    Warning : Not mounted SD
;11-sd_check.sh
;21--23.06;23--74.00;","20:19:32","2010-04-20","459.89S"
"23-0.00;26-;27-on   03: PREV
off  03: PREV
;","21:06:43","2010-04-20","742.58S"
"23-0.00;","21:10:59","2010-04-20","227.95S"
"23-0.06;","21:13:37","2010-04-20","32.94S"
"","21:14:51","2010-04-20","50.7S"
"","21:32:20","2010-04-20",".52S"
"","21:35:18","2010-04-20",".44S"
